,kic,hsig1,htau1,hexp1,hsig2,htau2,hexp2,hsig3,htau3,hexp3,numax,width,height,white,hsig1_err,htau1_err,hexp1_err,hsig2_err,htau2_err,hexp2_err,hsig3_err,htau3_err,hexp3_err,numax_err,width_err,height_err,white_err
931,12008916,657.8406217306401,0.02410731256525085,4.9753098128292335,142.56277271985545,0.0063895611540347045,4.787098098513142,6877.004020269932,2.8795079965988224,2.6624328406768214,161.57506114735074,37.19640214287097,5.551031964228415,17.680015876845093,14.596401446609134,0.0004480380853915863,2.3233277275719018,4.748311030772356,0.0002271482928403167,2.18172449139122,2728.314894302135,1.517336968158789,0.9755707311587732,0.3170496174584241,1.0533144943421704,0.024128916633441,0.9755308529624426
932,9820702,4366.970771978292,0.058262906495462785,4.776534289592312,866.7343502371159,0.016700704212731638,5.075321994068335,23292.564671341173,0.9712558171475212,2.48851245865619,61.496530060138475,19.46135339759985,7.024229018613406,11.091038403913508,167.44072673527452,0.0018195109512030851,2.189848290580008,50.41790129808714,0.00024215069781930625,1.979426368683696,4722.632352637475,0.07536920535499428,1.1259893922994155,0.3057461723432232,0.6384105275258088,0.03490808646163451,0.13484151183248838
933,3747860,15126.6417105064,0.10040101992707057,5.29904641152168,3991.2290487979662,0.03021846397727711,5.0587763721193255,28976.008210104595,1.2997800323593605,2.409154944478398,36.13136304846765,12.047311250971193,8.427266311400286,31.666793837190127,778.5576538516478,0.004870356015285831,2.1672637543156514,319.76959613248374,0.0006304039431078306,2.0139870596071274,14052.65270195053,0.2789315142360665,1.1790393626689013,0.2539676140401762,0.4016160649342676,0.042364851275322524,0.2383371492547526
934,9904563,10812.239762960342,0.08463856887476093,4.930359817275837,2002.7195084853547,0.02520614354248565,5.184869861705475,26020.45949727756,1.0158586219780772,2.637207777575039,38.073943300950866,16.902695973848893,7.9552783677705134,24.66901044269736,643.8968769793112,0.0048348658485863815,2.1284976545499177,420.2271589764468,0.0013524237613793289,1.8666443787951152,9643.238108102913,0.1956697914576196,1.2279641086898851,0.5408761612417384,1.0102128924124478,0.05900485467160395,0.25758046932136763
935,10157507,4553.2866196277055,0.05798844198670607,5.385463145249454,1113.8915376771988,0.016701930450816478,4.9102310784263254,23357.15939842721,0.944320366100827,2.42350617504362,68.13223418221637,18.92814400358434,7.423125784484378,13.451221279827228,173.55832488726296,0.0018097800071204828,2.077142039409146,54.35134919816836,0.00020634588059374409,2.3689493719322456,2404.3833538983968,0.030406669311351463,1.043342690735395,0.2418639253220909,0.5517629080266114,0.03641896158241574,0.1889493073996969
936,9700899,16868.021792530908,0.09417413498053244,5.637849562192548,3374.5174587423858,0.02835654993386052,4.596904538347754,28037.037723932906,0.93141791146628,2.8558723749323587,33.01255074596046,13.886078634832671,8.682427676324373,29.574156986374213,949.2941891294713,0.00460720877320221,2.2050055182456334,520.0485073861042,0.0011532803372468624,2.3274283219459155,10172.27948597126,0.2028791848814616,0.96316814373411,0.2924742970524384,0.4882164691402438,0.042312750582285424,0.2281987104461797
937,4937576,16074.485897214216,0.11242065270726223,5.240580502055471,3334.7914401005232,0.031690122067378916,5.313561906806582,36565.69531575929,0.9644988038526812,2.729206062505745,32.87407493298497,13.025745911891198,8.306922852525624,51.966216686217,887.9054413129422,0.005760858180818143,2.2268064173547293,456.4105554998637,0.0011554602662663118,2.1485966017093907,12364.908805431924,0.19555270808122807,0.9704373671796609,0.3251506001507323,0.5613662176308081,0.04666729455537988,0.3972337973757964
938,7808227,20291.295399698032,0.0946503073081506,4.657244938778566,3339.744666765245,0.02837279445897876,5.7125415659471805,37180.81527157019,1.64454246926954,2.3662117789193653,32.229812730225184,12.516088074345484,8.771801955794476,29.419963265084487,946.7057093789875,0.0031467780049785066,2.046708436654694,426.7011155953812,0.000955550150644334,1.911506715231695,16203.15609962938,0.4499406220523152,1.0174246243707037,0.24621219803619554,0.4085255987848865,0.04064072537019607,0.2690058577881657
939,11231549,23826.705777744093,0.1187893208213253,4.549333456261229,5119.020457438836,0.03505981212174968,5.216939364720938,37518.57824135804,1.228749027672555,2.6184084678304447,30.18123317797267,10.843340584713557,8.896538521666244,26.04826816951848,1819.5178731832025,0.006977155933912062,2.1716647515193936,582.9601977865641,0.0009385250371344266,1.8772696689257893,15889.250035132658,0.4042649913881903,1.079930868913805,0.23546789838356005,0.4155942876024339,0.05714054248064144,0.25787652845248704
940,10286616,15015.994986330204,0.10273136999762683,4.992993797562104,3102.534524458224,0.028875397368265863,4.656687926432746,31308.121655835355,1.3139122215239405,2.683407292981161,32.71538868506812,13.799999396131378,8.362754964900645,29.730072629158773,954.396559261461,0.006146758913755909,2.3715042822002936,443.41056348635993,0.0010474304112566227,2.170577583661246,15704.69154537618,0.33548738886572843,1.087046830617532,0.4036827666399106,0.558062110996448,0.04691670739726304,0.2432974515273467
