KIC,P12,G,2MASS,GLAT,GLON,Teffc,e_Teffc,Teff,e_Teff,Dnu,e_Dnu,numax,e_numax,Notes,Teff1,e_Teff1,[M/H]1,e_[M/H]1,M1,E_M1,e_M1,R1,E_R1,e_R1,log.g1,E_log.g1,e_log.g1,rho1,E_rho1,e_rho1,Teff2,e_Teff2,[M/H]2,e_[M/H]2,M2,E_M2,e_M2,R2,E_R2,e_R2,log.g2,E_log.g2,e_log.g2,rho2,E_rho2,e_rho2,_RA,_DE
9071238,1,0,J18521876+4525392,75.081,18.811,4829,82,4635,76,5.37,0.11,51.37,1.17,PUBLIC                                       ,4445,85,-0.02,0.06,1.19,0.12,0.11,9.05,0.37,0.35,2.598,0.011,0.011,0.0016,0.00005,0.00005,4537,85,0.02,0.06,1.22,0.13,0.11,9.15,0.38,0.35,2.601,0.011,0.011,0.00159,0.00005,0.00005,283.07819,45.42757
8736415,1,0,J18540924+4456536,74.724,18.341,4551,70,4359,65,1.36,0.04,7.66,0.4,"KASC,GO,PUBLIC                               ",4190,89,-0.14,0.06,0.93,0.11,0.08,21.05,0.9,0.78,1.764,0.016,0.014,0.0001,0,0,4347,89,-0.09,0.06,0.94,0.16,0.09,21.1,1.28,0.88,1.769,0.018,0.015,0.0001,0,0,283.53854,44.948231
8934264,1,1,J18534063+4512481,74.955,18.512,4526,68,4342,63,1.43,0.04,8.69,0.21,"GOLD,KASC,GO,PUBLIC,LUMINOUS_RGB             ",4234,99,-0.39,0.07,1.08,0.13,0.12,21.17,1.07,1.01,1.817,0.012,0.012,0.00011,0,0.00001,4382,99,-0.39,0.07,1.12,0.14,0.12,21.48,1.1,1.02,1.821,0.012,0.012,0.00011,0.00001,0.00001,283.41928,45.213379
8671819,1,0,J18533769+4453356,74.635,18.409,5114,82,4934,76,4.04,0.09,30.24,0.65,PUBLIC                                       ,4739,99,-0.38,0.07,0.87,0.08,0.03,9.99,0.32,0.2,2.383,0.01,0.009,0.00088,0.00003,0.00003,4753,99,-0.44,0.07,0.86,0.09,0.03,9.96,0.35,0.2,2.383,0.01,0.009,0.00088,0.00003,0.00003,283.40707,44.89323
9698133,1,0,J19024206+4624530,76.722,17.467,4949,104,4786,98,9.24,0.17,110.99,2.48,"GO,SEIS_INTEREST,RGB,PUBLIC                  ",4696,80,0.09,0.05,1.47,0.14,0.13,6.77,0.27,0.25,2.942,0.011,0.011,0.00472,0.00013,0.00012,4721,80,0.13,0.05,1.48,0.14,0.14,6.8,0.26,0.26,2.943,0.011,0.011,0.0047,0.00013,0.00012,285.67529,46.414719
9515026,1,0,J19040977+4606564,76.527,17.122,4915,81,4688,74,4.54,0.13,40.17,0.84,PUBLIC                                       ,4584,100,-0.41,0.07,1.17,0.15,0.12,10.06,0.53,0.47,2.5,0.011,0.011,0.00115,0.00005,0.00005,4639,100,-0.46,0.07,1.19,0.16,0.13,10.13,0.53,0.47,2.502,0.01,0.011,0.00114,0.00005,0.00005,286.04074,46.115681
9453362,1,0,J19042292+4604293,76.502,17.072,5125,93,4922,86,4.18,0.09,35.26,1.97,PUBLIC                                       ,4826,93,-0.24,0.06,1.18,0.22,0.2,10.73,0.68,0.68,2.449,0.024,0.024,0.00096,0.00003,0.00003,4817,93,-0.29,0.06,1.18,0.21,0.19,10.71,0.67,0.65,2.449,0.023,0.023,0.00096,0.00003,0.00003,286.09555,46.07481
9392274,1,0,J19032171+4559100,76.347,17.204,4879,94,4663,86,4.82,0.1,43.9,1.2,PUBLIC                                       ,4520,88,-0.11,0.06,1.16,0.14,0.12,9.69,0.41,0.42,2.531,0.014,0.013,0.00128,0.00004,0.00004,4592,88,-0.1,0.06,1.19,0.14,0.12,9.76,0.44,0.42,2.534,0.013,0.013,0.00128,0.00004,0.00004,285.84045,45.986141
9513787,1,0,J19012355+4611501,76.423,17.599,4888,95,4717,89,3.83,0.12,30.3,0.71,"GO,RC,PUBLIC                                 ",4523,94,-0.25,0.06,0.96,0.13,0.08,10.58,0.58,0.39,2.372,0.011,0.011,0.00081,0.00003,0.00003,4594,94,-0.26,0.06,0.99,0.12,0.1,10.71,0.57,0.45,2.375,0.011,0.011,0.00081,0.00003,0.00003,285.34818,46.197269
9575645,1,0,J19022297+4615098,76.542,17.459,5048,99,4948,96,4.72,0.11,46.38,1.42,"GO,RC,PUBLIC                                 ",4648,83,0.03,0.05,1.57,0.17,0.19,10.87,0.44,0.53,2.56,0.014,0.014,0.00122,0.00004,0.00004,4686,83,0.06,0.05,1.61,0.15,0.2,11.02,0.35,0.59,2.563,0.014,0.014,0.00122,0.00004,0.00004,285.5957,46.252731
