Inference for Stan model: anon_model_da9d43ec9f02d0266a58a977075d376a.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
eps_std[18] -0.789   0.034  0.185 -1.162 -0.909 -0.787  -0.67 -0.424   29.0  1.112
eps_std[19] -0.712   0.227  0.383 -1.478 -1.012 -0.629 -0.428 -0.106    3.0  1.882
eps_std[20] -0.816    0.03  0.194 -1.201  -0.94 -0.816 -0.692 -0.423   41.0  1.096
eps_std[21] -0.844   0.026  0.295 -1.445 -1.036 -0.826 -0.637 -0.318  126.0  1.031
eps_std[22] -0.635   0.024  0.201 -1.036 -0.766 -0.637 -0.503  -0.24   67.0  1.062
eps_std[23] -0.596   0.022  0.231 -1.062 -0.749  -0.59 -0.435 -0.162  113.0  1.042
eps_std[24] -0.827   0.034  0.186 -1.199 -0.946  -0.83 -0.707 -0.449   31.0  1.108
eps_std[25] -0.652    0.03   0.18 -1.012 -0.768  -0.65 -0.535 -0.288   35.0  1.099
eps_std[26] -0.685   0.053  0.238 -1.197  -0.83 -0.664 -0.529 -0.241   20.0  1.111
eps_std[27] -0.604   0.018  0.196 -1.016 -0.722 -0.597 -0.476 -0.236  122.0  1.026
eps_std[28]   -0.8   0.033  0.189 -1.176 -0.926 -0.801 -0.678 -0.417   33.0  1.104
eps_std[29] -0.533   0.131  0.259 -0.997 -0.718 -0.555 -0.348  -0.02    4.0  1.501
eps_std[30] -0.791   0.021  0.202  -1.23 -0.911 -0.781 -0.657  -0.42   93.0  1.042
eps_std[31]  1.919   0.032  0.249  1.422  1.757  1.923  2.087  2.413   60.0  1.071
eps_std[32] -0.612   0.031  0.186 -0.986 -0.731 -0.611 -0.489 -0.246   35.0  1.093
eps_std[33] -0.807   0.033  0.185 -1.182 -0.926 -0.809 -0.689 -0.435   31.0  1.106
eps_std[34] -0.526   0.028  0.174  -0.87 -0.641 -0.528 -0.412 -0.183   38.0  1.095
eps_std[35] -0.856   0.037  0.199 -1.262 -0.984 -0.859 -0.726 -0.461   29.0  1.106
eps_std[36] -0.597    0.05  0.255 -1.146 -0.755 -0.583 -0.427  -0.12   26.0  1.106
eps_std[37] -0.924   0.032  0.206 -1.356 -1.055 -0.923 -0.788 -0.523   40.0  1.093
eps_std[38] -0.946   0.044  0.893   -2.7 -1.544 -0.959 -0.346  0.833  413.0  1.009
eps_std[39]  1.927   0.102  0.328  1.299  1.704  1.924  2.149  2.578   10.0  1.172
eps_std[40]  2.091   0.071   0.32  1.474  1.866   2.09  2.313  2.726   21.0  1.112
eps_std[41] -0.918   0.039  0.239 -1.413  -1.07 -0.907 -0.751  -0.48   37.0  1.094
eps_std[42]  2.051   0.033  0.276  1.512  1.865  2.048  2.233  2.609   69.0  1.069
eps_std[43]  1.921   0.023  0.263  1.401  1.746  1.921  2.097  2.443  130.0  1.042
eps_std[44]  1.875   0.027  0.246  1.376  1.717  1.879  2.036  2.361   81.0  1.066
eps_std[45] -1.101   0.321  0.519 -2.205 -1.427 -0.966 -0.718 -0.354    3.0  2.106
eps_std[46]   1.85   0.024  0.274  1.321  1.668   1.85  2.029  2.401  134.0  1.047
eps_std[47]  0.688   0.031  0.327  0.048  0.469  0.693  0.902  1.337  112.0  1.046
eps_std[48]  1.183    0.04  0.549   0.04  0.837  1.212  1.548  2.223  190.0  1.041
eps_std[49]  0.527   0.067  0.641 -0.684  0.089  0.505  0.947  1.827   91.0  1.067
eps_std[50]  0.376   0.029  0.709 -1.085 -0.081  0.395  0.855  1.739  615.0  1.011
eps_sig      0.329   0.005  0.037  0.264  0.303  0.326   0.35  0.413   54.0  1.083
epsA         0.565    0.01  0.142  0.288  0.469  0.563  0.661  0.852  215.0  1.018
epsB        -0.199   0.006  0.087 -0.376 -0.254 -0.197 -0.141 -0.029  238.0  1.014
al_std[1]    0.009   0.007  0.057 -0.116 -0.024  0.013  0.048  0.113   73.0   1.03
al_std[2]    0.123   0.008  0.098 -0.056  0.055  0.118  0.183  0.332  156.0   1.02
al_std[3]   -0.004   0.007  0.062 -0.137 -0.042-1.02e-4  0.039  0.105   69.0  1.038
al_std[4]    0.052   0.007   0.06 -0.073  0.016  0.057  0.092  0.161   67.0  1.046
al_std[5]     0.07   0.007   0.06 -0.055  0.031  0.073   0.11  0.183   70.0  1.039
al_std[6]    0.101   0.007  0.069 -0.037  0.055  0.102  0.147  0.235   87.0   1.03
al_std[7]   -0.038   0.007  0.059 -0.166 -0.073 -0.033  0.003  0.066   67.0   1.04
al_std[8]    0.045   0.007   0.06 -0.081  0.008  0.049  0.086  0.157   69.0  1.039
al_std[9]    0.037   0.008  0.068 -0.106 -0.006  0.041  0.084  0.165   74.0  1.048
al_std[10]   0.055   0.008  0.064 -0.078  0.014  0.058  0.099  0.174   69.0  1.041
al_std[11]   0.123   0.008  0.072 -0.019  0.075  0.124  0.171  0.265   79.0  1.041
