Inference for Stan model: anon_model_397458fbbd01e7b8f1803282df68c37b.
4 chains, each with iter=60000; warmup=30000; thin=1; 
post-warmup draws per chain=30000, total post-warmup draws=120000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
G[37]        3.686   0.018   0.61   2.22  3.353  3.701  4.069  4.815   1163  1.012
G[38]        9.521   0.004  0.271  9.006  9.336  9.517  9.701 10.066   5077    1.0
G[39]          1.5   0.014  0.064  1.368  1.459  1.502  1.543  1.623   20.0  1.072
G[40]        3.573    0.02  0.537  2.499  3.235  3.581  3.919  4.613  722.0  1.007
G[41]        2.754   0.027  0.381  1.704  2.567  2.748  2.952  3.536  203.0  1.013
G[42]        3.214   0.023  0.495  2.372  2.879  3.187  3.526  4.249  470.0  1.009
G[43]        2.568   0.076  0.694  1.484  2.073  2.441  2.983  4.158   82.0  1.044
G[44]        2.513   0.013  0.194  1.914  2.431  2.532  2.625  2.829  212.0  1.016
G[45]        1.857   0.009  0.222  1.578  1.687  1.778  2.019  2.359  642.0  1.007
G[46]        3.486    0.03  0.794  1.841  2.988  3.641  4.048  4.768  713.0  1.005
G[47]        2.891   0.011  0.424  1.767  2.682  2.871  3.095  3.814   1627  1.003
G[48]        2.789   0.012  0.529  1.837  2.403   2.77  3.146   3.87   1868  1.001
G[49]        2.976   0.055  0.751  1.491  2.469  3.015  3.496  4.374  187.0   1.02
G[50]         2.87   0.024  0.701  1.607  2.342  2.847  3.373  4.251  836.0  1.011
phi[1]       3.002   1.193  1.822  0.538  1.683  2.398  4.353  6.244    2.0  2.634
phi[2]      -1.713     1.4   3.06 -5.936 -4.096 -2.534  0.384  5.108    5.0  1.347
phi[3]        2.59   0.034  0.594  1.939  2.228  2.409   2.67  4.234  311.0  1.007
phi[4]       1.538   1.021  3.254 -4.378  1.694  2.247  2.759  5.739   10.0  1.795
phi[5]       1.865   0.281  2.084 -3.193  0.759  1.967  3.237  5.549   55.0  1.085
phi[6]       1.622   0.066  1.077 -0.507  0.899  1.619  2.364  3.667  269.0  1.003
phi[7]      -0.233    0.88  3.252 -4.824  -4.11  1.591  2.103  5.377   14.0   1.34
phi[8]       1.884   0.051  1.136 -0.316  1.107   1.89  2.651  4.095  500.0  1.018
phi[9]       1.002   0.038  1.071 -1.063  0.272  0.991  1.721  3.116  793.0  1.002
phi[10]     -3.073   0.533  2.507 -5.856 -4.327 -3.656 -2.908  6.025   22.0  1.161
phi[11]      0.587   0.081  0.832 -0.897  0.019  0.541  1.087  2.525  105.0  1.047
phi[12]      1.156   0.007  0.262  0.655  1.014  1.154  1.296  1.655   1412  1.004
phi[13]      0.424   0.274  3.311 -5.902 -1.531  0.494  2.746  6.021  146.0  1.016
phi[14]     -1.321   1.165  3.482 -5.577  -4.41 -3.045  1.835  5.507    9.0  1.208
phi[15]      0.136   1.157   3.26 -5.498 -3.507  1.403  2.445  5.408    8.0  1.316
phi[16]      5.662   0.025  0.501  4.442  5.391  5.778  6.047  6.272  417.0  1.007
phi[17]      1.034   1.143  3.464 -5.543 -1.691  1.327  4.014  6.227    9.0  1.245
phi[18]      6.144   0.003  0.143  5.763  6.091  6.187  6.244   6.28   2147  1.001
phi[19]      3.136    1.87  2.738 -1.178  0.525  3.598  5.898  6.256    2.0  3.762
phi[20]      0.319   0.049  0.574 -0.452  0.013  0.267  0.522  1.179  137.0  1.053
phi[21]     -0.591   0.183  3.547 -6.103 -4.282  0.007  1.378  6.049  375.0  1.015
phi[22]      4.355   1.656  2.403 -0.792  3.178  5.575  5.986  6.262    2.0  4.321
phi[23]     -0.953   0.637  3.145 -6.042  -4.55  0.262  1.262  4.621   24.0  1.193
phi[24]     -0.138   0.007  0.247 -0.623 -0.303 -0.136  0.026  0.349   1356  1.002
phi[25]      4.487   1.817  2.583 -0.413  3.171   5.91  6.124   6.27    2.0  9.665
phi[26]      5.814   0.017   0.41  4.776  5.613  5.923  6.128  6.267  584.0  1.022
phi[27]      5.482   0.019  0.577  4.145  5.134  5.579  5.941  6.261  918.0  1.003
phi[28]      0.429   0.207  3.529 -6.174 -0.525  0.073  2.205  6.216  290.0  1.011
