,KIC,dnu,numax,epsilon,alpha,A,G,phi,tau,met,mass,logage
80,10747862,3.7274432773500004,30.836963584099998,0.0250298742439,0.0198993763125,0.0329926764459,2.2793676136200003,1.71166747325,7.152435021880001,-0.307,0.942,4.045
81,2437816,2.33826249061,18.0384250256,-0.10750100465399999,0.0253587928063,0.155279629286,1.8666462542900002,-4.25047649308,,0.422,1.156,3.918
82,6755907,4.807861583919999,43.746354762799996,0.074966096664,0.0138232812935,0.023093668885599997,2.68877789744,0.6777546479530001,10.6658673844,-0.049,0.99,4.035
83,5196152,7.355920286839999,80.0210927398,0.146425790943,0.00971196912627,0.021386969680800002,2.37744099688,2.7989305022799997,6.257669417869999,-0.003,1.294,3.625
84,7270142,5.43336004794,53.4451101707,0.113249929672,0.0139414053385,0.021621642795500003,2.43458269382,2.2624548036200003,6.56847088127,0.16,1.221,3.777
85,6755373,5.19288824686,51.08059860149999,0.120927788253,0.0104213417965,0.0260009864443,2.5281652996,2.17396731948,8.189372035560002,0.039,1.292,3.666
86,9581445,5.776335422640001,61.332589276899995,0.104168441469,0.011832557394999998,0.0230271375478,2.71977956443,1.9896917723099998,9.292830506849999,0.227,1.49,3.489
87,11567563,4.3610515778800005,42.5539024148,0.0791284026804,0.012356745218200002,0.027557939773499997,2.3929809326400004,-0.0865927204856,10.2046872019,0.108,1.493,3.458
88,9711269,6.3931179061300005,65.2448253013,0.130083174457,0.0144055666263,0.0209402064646,2.7533937884400004,2.03320525065,9.810040860279999,0.232,1.114,3.938
89,12215647,4.9516042231,49.2511273267,0.0719482436113,0.0141484355571,0.0256339483739,2.82112866393,1.08024000375,12.3021372782,0.162,1.467,3.504
90,9652704,14.5383590745,187.824364784,0.287827541427,0.007756748318450001,0.0109944906907,3.06984745411,2.8260648506,6.25226869528,0.158,1.212,3.781
91,10801063,16.0564088079,200.28467057400002,0.309408470498,0.00789329845965,0.0102284321575,2.75974611147,3.14222814735,4.727692644459999,-0.247,1.001,3.956
92,5023889,5.34939030699,54.1587807628,0.10805000264499999,0.0115381223575,0.0248536903353,1.70233511622,0.6785172054449999,9.746844531219999,0.196,1.346,3.645
93,11087371,11.5552167802,145.49533290000002,0.235646446096,0.009583411078299998,0.0103616013945,3.25021911003,2.25706688125,3.5792434909199993,0.296,1.284,3.733
94,11521197,6.16813362669,67.7007993855,0.100560305043,0.011332214147000001,0.023560685519500003,2.55023523784,2.5074920613400002,7.5735301775999995,-0.033,1.66,3.254
95,9786625,4.67380350585,46.472543485100005,0.08684849277130001,0.0121348818436,0.027761636337599996,2.63704168173,2.01659268319,10.5677225066,0.098,1.393,3.563
96,9414068,1.59365144039,10.0524199526,-0.153600482424,0.11743433641699999,0.171499216946,3.35668808398,-4.03572884554,,-0.537,0.934,3.981
97,11358755,3.9939095290499997,36.5795159404,0.0235357079673,0.0159042455599,0.037823731424,2.26708658368,2.07249403523,11.6783075352,0.036,1.336,3.616
98,9535399,5.75284795911,58.017985976599995,0.0919835682077,0.0146809781855,0.0215014225186,2.3621950595700003,1.51996948447,6.9519870604600005,0.281,1.199,3.837
99,9080407,4.71737767976,45.647030811499995,0.07520063036510001,0.014312015713700001,0.024478789806900002,2.9329206687700005,1.63288399366,10.7763015709,-0.093,1.394,3.5
100,10272641,8.18849873457,90.6226431109,0.15015321646500002,0.011631395437,0.022584479012899998,2.7216009792199998,2.73188633358,5.4440541082000005,-0.127,1.29,3.597
101,11241927,2.9096109657700002,25.976083983400002,-0.0561715298775,0.05486450587859999,0.107410801143,4.354593320219999,-5.00424727011,,0.146,1.628,3.341
102,8742013,3.15477267975,25.3449920483,-0.0141454372184,0.0199720591134,0.039072186530599996,2.2835342592299996,1.23055100856,8.21729795796,-0.43,1.159,3.67
103,5857618,6.309977153539999,72.0893689396,0.113752496866,0.0100584855805,0.0223271239383,3.2709589567400004,1.57604436261,9.90790757804,0.303,1.698,3.304
104,1432587,1.0800093132100002,5.46908158736,-0.351923791329,0.0406916383047,0.182844486898,3.00477672756,-4.2369893012699995,,-0.197,0.856,4.213
105,6424157,8.86086019857,100.129118134,0.19925072142900002,0.010573660902100001,0.017822919895400004,2.53669869998,2.9287693519099998,8.08841537668,0.085,1.217,3.757
106,7674224,10.7593062471,130.86389775,0.221426071201,0.00954961207465,0.0143862569927,3.3088287940599996,2.1525654085,13.3688346719,0.253,1.291,3.715
107,8081278,3.80919875131,33.877272092199995,0.0434687972737,0.012223211633299999,0.03338504658,2.42993074033,1.05543581721,12.240511825799999,0.078,1.198,3.781
108,10973854,3.56518894547,31.303833685,0.00448062267708,0.016037579080100003,0.0334957479516,2.54082947698,1.43605414197,11.3353698507,0.071,1.246,3.718
109,11518492,5.338487034090001,52.8960384416,0.109770859598,0.014780215143,0.024200857183500003,2.8565643420200004,1.8640916337400002,8.77142734491,0.124,1.262,3.718
110,11598116,2.54127611561,17.9872062581,-0.388793212914,0.09934246796269999,0.128830749921,6.1921088955400005,-4.2917948917,,-0.186,0.999,3.988
111,11357686,5.84632288054,56.2711267146,0.101881924015,0.0164998785024,0.025222168178900002,2.54036786645,2.2563110227700003,10.565113414199999,0.03,1.041,3.993
112,9658793,4.43649942438,40.4998689115,0.055680227185699996,0.014482674473299999,0.0257369783662,2.76039684434,1.3206633775,9.16609815042,-0.16,1.24,3.66
113,9351617,4.32532533088,38.5622028836,0.015750504786,0.012914263140100002,0.030633250482200003,2.4514031065,0.7312941901960001,7.154105113210001,0.006,1.533,3.317
114,8675106,6.61183931036,73.0750233672,0.14422694773800002,0.0104277749038,0.021075404334400003,3.0542044427499997,1.96298492238,10.231643745,0.235,1.482,3.501
115,3733028,13.252470620799999,178.741464751,0.29363530681999994,0.00739638337717,0.013814143104100002,3.06004630612,2.6437847853400003,7.14470982348,0.108,1.54,3.395
116,9145781,17.6857586948,241.485502646,0.360787456267,0.006159910067609999,0.0116673093964,2.8195652091500003,3.2280577915,8.52556735534,0.116,1.219,3.756
117,9405555,2.5198183164,18.3134092828,-0.20126959796100002,0.0513041540341,0.0769662320245,3.24527164851,-2.10094360095,,-0.203,0.976,4.024
118,2018392,3.7559089741199996,33.5061540338,0.024341110802599996,0.017242264261700002,0.0304572773057,2.52532488237,1.1245572269700002,9.082513899730001,-0.082,1.323,3.594
119,2570384,6.382008513860001,61.4187993307,0.110050515923,0.0195711112243,0.031079256323099998,3.27790082246,1.18398499687,13.5380915851,0.387,1.003,4.132
120,7109120,5.95248926164,60.8250529238,0.113012776606,0.0144871733792,0.030365989965900002,1.59496428471,1.96339636164,10.0320866237,0.424,1.182,3.881
121,11287936,5.31295136484,51.472247486099995,0.09967950739589998,0.016494731643,0.0263064330632,3.2493293850300002,1.573643519,10.7781029551,0.055,1.221,3.747
122,10991673,4.36434214022,41.764939612,0.052681943688000006,0.014477320563000001,0.028318545603400004,2.62227567836,1.8886935663799997,9.696271585269999,0.016,1.382,3.54
123,9003765,4.03361082547,59.8481002928,0.178984103914,0.0113714815273,1.1931157109700001,2.98300616143,-0.722568030457,,0.071,1.091,3.932
124,8086192,7.08760560601,75.5318812179,0.146199331545,0.0121507331123,0.022655926778599997,2.69388342259,2.41878739001,8.13771954848,0.104,1.256,3.717
125,12217154,4.617836950169999,46.4435620101,0.0167077379962,0.014589358352600001,0.0274495733617,2.61353282378,0.8602958799179999,10.624497377,-0.016,2.093,3.029
126,10394814,24.7202218207,208.00542909799998,0.33709931396399995,0.00617046320644,0.0331627339035,5.837963911819999,-0.345161907817,11.3515523702,-0.126,0.943,4.074
127,11028372,4.5476496888,40.0113277146,0.0583707518795,0.016701277606,0.023832844168599997,2.16942229852,-2.05285182898,10.5851699045,-0.294,1.049,3.882
128,10670445,3.57125874135,29.7874552491,-0.0485385592172,0.0241499754049,0.0352882335073,4.2225376262,-3.9946989058800004,,-0.079,1.15,3.805
129,11250152,3.5395532413499997,30.0258342304,0.0163988734499,0.018492521824900004,0.0298144702215,2.63215163361,0.776726037487,10.089370589400001,-0.144,1.22,3.684
130,11177727,3.7623191409400003,31.3039111546,0.0321557090832,0.0184785544364,0.031200390372799997,2.18201376958,1.9711451162599998,8.28231781912,-0.098,1.034,3.969
131,2570172,7.055491622060001,74.15954550890001,0.127523853963,0.0160496022662,0.0256021547854,3.1280241169400003,1.6038588115299999,9.803881516939999,0.444,1.184,3.88
132,8612520,4.21777098218,42.4495149408,0.0347871358458,0.0124066362925,0.0307883805222,2.66396539535,1.32697121635,10.3086686455,0.097,1.826,3.161
133,11027337,3.8699925915199995,33.8352392756,0.022894774898,0.015290345534,0.0300411485158,2.4192368123700003,2.1841307295599997,8.72267499002,0.026,1.129,3.866
134,8867740,2.94625495046,22.229398866100002,-0.017323492765900003,0.018009764667099998,0.0376303502832,2.05152383279,-0.5404195149009999,10.3093563353,-0.44,0.998,3.912
135,3744043,9.89254944909,112.68179109999998,0.19149121242800002,0.0106901607392,0.0138896578373,2.6934499851599996,2.8072464452499997,5.1361828378,-0.295,1.198,3.654
136,11441797,5.81846654118,57.752904308699996,0.09616507695860001,0.0142962816763,0.0247720996218,1.8302364384799998,0.45234886237099997,8.53450462152,-0.138,1.226,3.674
137,8822689,5.02388341588,54.7617430429,0.066341857193,0.00776904569811,0.027077548901400003,2.91204124532,0.693754584549,11.3638767217,-0.008,2.229,2.962
138,11020211,9.896584946539999,107.58654811299999,0.204154034453,0.010965548811000002,0.017820218853,2.6102401876499997,2.59765359766,9.09885851421,-0.306,0.995,3.962
139,10550429,10.6949240824,135.602514658,0.227349835005,0.007462691540869999,0.012652184533500001,3.0610695153099994,2.28939000125,3.4861515144300004,0.087,1.497,3.434
140,11353313,10.748124396800002,126.12695560200001,0.204054006598,0.00983724589869,0.012207722637200002,2.8219735902,2.55961665628,11.1534442825,-0.374,1.268,3.558
141,6768319,5.57130338265,53.8505884583,0.10268942596000001,0.0156983526675,0.022791007239900005,2.58721640345,2.07541072641,9.92690977415,0.078,1.126,3.876
142,9596106,2.6421566261200002,20.6831062468,-0.0456635202546,0.0170161278033,0.129062102468,2.0078120008,-5.22814865317,,-0.169,1.319,3.571
143,5112361,6.149576845580001,70.4014435795,0.11769454988,0.00819699491549,0.0207154422029,3.03791521685,1.84677244412,8.26933826465,0.072,1.719,3.223
144,11337883,11.6343314133,150.720729111,0.239101106981,0.00638755546013,0.0119369924357,2.56815254812,2.7912490685900004,8.94000642261,0.039,1.496,3.432
145,4140726,4.9577020770099995,50.7751892387,0.0800712367487,0.013357865928200001,0.0263125954306,2.6136239392299996,1.47206661505,9.96587232103,0.123,1.602,3.349
146,6765032,1.48644063063,6.97910038282,-0.554419177757,0.0584506384235,0.145478487645,4.66838955076,-4.13508895516,,-0.555,0.73,4.245
147,11769182,4.5884701283,43.8639324046,0.0593433616892,0.015897470818399997,0.028575932510799998,2.69088543653,1.67681576503,5.96888996655,0.134,1.293,3.68
148,5168713,4.76671688432,42.081142861,0.0753744473999,0.0160349235756,0.0240386138196,2.35292599782,-0.725863827728,10.6731508046,-0.289,1.037,3.9
149,11924919,9.327275519199999,116.055827281,0.199520850658,0.00786943793312,0.0114965978478,3.06478610953,2.41118801159,3.03844060324,0.188,1.586,3.379
150,5112948,4.26343729987,42.556225427,0.06394767843230001,0.0130100374856,0.0245140108522,3.3615256151499997,0.839224496021,11.057635411800002,0.126,1.765,3.203
151,9267654,10.3282717739,118.687257266,0.20992533869199997,0.011323923496100001,0.021750389756900003,1.66052505155,1.8777033744799998,3.0156781142400004,-0.018,1.138,3.817
152,9163785,4.7267168,46.7707922838,0.037370671076800005,0.014198916257899999,0.025663759147099997,3.02112249043,1.80832855917,9.826979633330001,-0.12,1.593,3.288
153,9716866,3.7338372549699996,32.2973349716,0.013490322408000001,0.015519716273900001,0.032444756634,2.43282639442,1.59367076616,11.2452385208,0.029,1.176,3.805
154,8283356,11.1843252681,135.621521721,0.246263698569,0.00856913754343,0.012198980407300001,2.79475840287,2.84013876053,3.3560871021099996,0.156,1.221,3.773
155,2569360,2.7155351009400004,21.5118159247,-0.0219642465762,0.0182880142918,0.144272693089,1.9398542692200003,-4.42452179066,,0.384,1.078,4.02
156,9882316,13.643841840599999,182.227238212,0.290559021791,0.00631853702222,0.00976237363822,3.4717340483800005,2.54777013444,8.12721954833,-0.377,1.511,3.293
157,10593078,15.347535108499999,207.709956645,0.32428619036,0.0072030870964899995,0.0137489964239,3.1401119177999997,2.64058832639,9.82084256167,0.193,1.284,3.703
158,3633152,3.98309372617,33.4336561408,0.034886547378599995,0.0181462449233,0.0331501621958,2.0552708892299996,2.7190834954400005,10.4364283839,-0.242,0.978,4.0
159,10678016,3.67180433535,29.4006049642,-0.126135429384,0.10478662523299999,0.153583726502,5.54426752357,-4.784914978080001,,-0.427,0.918,4.046
160,7670489,4.03909889324,35.0793924639,0.0261837508425,0.0158973364227,0.0245243878847,2.53772827806,0.24025873557500002,9.883997749939999,-0.212,1.096,3.846
161,2307683,4.29605986654,39.916260155,0.0341092726964,0.015763062866100002,0.0338816018569,2.6630972638,1.4850422550100002,8.670170155569998,-0.156,1.365,3.519
162,2436900,4.0176462397,35.639881957600004,0.0478851943207,0.0166163774835,0.0310910225935,2.49098841942,0.762241832448,10.210250823300001,0.399,1.086,4.01
163,4168909,11.6070116778,143.260670329,0.25411897071199996,0.009102075277739999,0.014701168762799999,3.12778082603,2.3626591606400003,4.669571351459999,0.331,1.238,3.791
164,6935260,4.578981754019999,42.9020949454,0.0630366623751,0.014938942285299999,0.0283752608293,2.3680420382099996,1.6667780308000002,6.2857475038,-0.056,1.265,3.664
165,7518352,7.46696013796,76.8601113527,0.128204019611,0.012690760110299999,0.0156942573508,2.8298346989599996,2.20378791024,10.3346355129,-0.472,1.153,3.675
166,9395535,2.9020080247299997,22.5282469855,-3.97525651129e-05,0.0174398523155,0.0436891124701,2.8587603255299996,0.00825930697209,9.49459834168,-0.218,1.049,3.879
167,9451999,4.14656899121,34.218604394699994,0.0192770379805,0.015780816664,0.032472996298799996,4.39949628571,-0.0005184019686919999,8.88487573239,-0.292,1.301,3.448
168,9269772,5.90157607429,58.9250601486,0.132893043721,0.015053651086600001,0.021596848723,3.10992477803,1.8152966399200001,7.483043056930001,0.139,1.147,3.872
169,2438333,6.050922262239999,61.1723579086,0.136429802422,0.0159522897808,0.0206350500636,3.0520299541400004,1.22750434199,6.69641685357,0.43,1.121,3.964
170,11136854,7.2800913522,92.8556335798,0.123647310692,0.00618224771758,0.0211441393066,4.053170972809999,0.541089935373,10.7606202411,0.062,2.163,3.013
