Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[43]       31.687   0.015  0.462 30.775  31.38 31.688 31.992   32.6   1000  1.005
numax[44]       31.082   0.003  0.114 30.854 31.004 31.083 31.159 31.303   1162  1.005
numax[45]        7.648   0.006  0.235  7.196  7.489  7.645  7.804  8.119   1386  1.001
numax[46]       19.931   0.009  0.306 19.324 19.725 19.933  20.14 20.525   1149  1.002
numax[47]       45.005   0.012  0.401 44.233 44.728 45.008 45.278  45.78   1077  1.006
numax[48]       105.61 1.09e-72.16e-5 105.61 105.61 105.61 105.61 105.61  39162    1.0
numax[49]       57.287   0.074  1.971 53.329 55.957 57.322 58.677 60.953  719.0  1.003
numax[50]        5.925   0.023  0.586  4.858  5.544  5.882  6.261   7.23  634.0  1.015
numax[51]       64.212   0.086  2.289  59.82 62.652 64.173 65.743 68.758  704.0  1.007
numax[52]       45.362   0.344  1.326 42.951 44.457 45.198  46.26 48.109   15.0  1.121
numax[53]       31.425   0.054  1.467 28.534  30.45 31.423 32.402 34.315  736.0  1.006
numax[54]       92.077   0.062  1.898 88.385 90.791 92.072 93.342 95.863  933.0  1.006
numax[55]       30.304   0.002  0.108 30.093 30.231 30.303 30.377 30.518   2129  1.001
numax[56]       94.281   0.183  4.436  85.45 91.322 94.303 97.247 102.94  590.0  1.005
numax[57]       31.356   0.046   1.29  28.85 30.481 31.355 32.227 33.895  782.0  1.013
numax[58]       27.792   0.028  0.884 26.053 27.204 27.792 28.376 29.551  969.0  1.013
numax[59]       69.397   0.322   3.53 62.072  67.18 69.561 71.816 76.066  120.0  1.044
numax[60]       17.419   0.018  0.528 16.374  17.07  17.42 17.768 18.464  836.0  1.004
numax[61]       31.329    0.07  1.178 28.962 30.555 31.343 32.133 33.557  285.0  1.023
numax[62]       29.787   0.008  0.302 29.201 29.581 29.785 29.987 30.395   1520  1.005
phi[1]           3.638   0.033  0.917  1.802  3.034  3.654  4.264  5.388  784.0  1.007
phi[2]           1.375   1.927  2.737 -3.707 -0.573  2.829  3.071  3.465    2.0 10.297
phi[3]           1.377   1.923  2.731 -3.678 -0.444  2.826  3.069  3.461    2.0 10.422
phi[4]            0.18   0.215  3.602 -5.916 -2.965  0.357  3.244  5.907  282.0  1.014
phi[5]            0.14   0.172  3.534 -5.939 -2.775  0.225  3.158  5.937  420.0  1.006
phi[6]           1.484   0.062  1.596 -1.645  0.419  1.449  2.554  4.691  668.0  1.004
phi[7]          -0.096   0.598  3.136 -4.767 -1.799 -0.887   2.13  5.417   28.0  1.111
phi[8]           1.077     1.0  3.435 -4.607 -1.279   1.66  4.947  5.707   12.0  1.399
phi[9]             3.3   0.249  1.116  1.208  2.523  3.265  4.059  5.567   20.0  1.092
phi[10]          3.882   0.004  0.183  3.519  3.762  3.883  4.003  4.245   1730  1.007
phi[11]         -2.553   1.486  2.242 -6.124 -4.247 -2.653 -1.029  1.724    2.0  2.836
phi[12]          0.177    1.11  3.385 -6.039  -2.62  0.533   3.35   5.04    9.0  1.245
phi[13]          3.637   0.033  0.882  1.829  3.059  3.663   4.24  5.285  729.0  1.003
phi[14]         -2.745   0.033  0.907 -4.462 -3.369 -2.773 -2.144 -0.888  742.0  1.003
phi[15]          0.149   0.548  3.557 -5.996 -2.774  0.368  3.152  5.864   42.0  1.099
phi[16]          2.887   1.014  1.603 -0.551  1.879   3.38  4.047  5.072    2.0  2.221
phi[17]          1.374   1.127  2.519 -4.388 -0.191  1.653  3.051  5.704    5.0  1.639
phi[18]          1.552   0.057  1.631 -1.526  0.432  1.501  2.637  4.886  827.0  1.002
phi[19]          3.435   0.023  0.414  2.522  3.191   3.46  3.713  4.181  325.0   1.01
phi[20]          3.106   0.967  1.377  0.505  2.187  3.814  3.973  4.234    2.0  7.989
phi[21]          3.369   0.916  1.636 -0.254   2.38  3.708   4.59  5.811    3.0  1.642
