kic,dnu,numax,epsilon,alpha,A,G,phi,tau,FeH,Teff,ES,e_eps,e_al,e_A,e_G,e_phi,e_tau
5084662,4.52481546057,41.0051512514,0.0024502660290999997,0.015308049897000001,0.0359156491398,2.638004238,0.45388237780100005,9.565734753660001,-0.273,4959.3,RC,0.015,0.001,0.005,0.212,0.405,3.565
8759746,4.72274095499,45.4527493367,-0.00879693947085,0.012569982674,0.0290721093806,3.03616220339,0.8086979826430001,8.35709027787,0.056,4856.5,RC,0.016,0.002,0.005,0.365,0.311,3.8080000000000003
8479780,4.38335469596,39.977804002,-0.00459806912101,0.0143314122834,0.037880526693300005,2.6262942152599997,0.451268283732,10.4857410738,-0.289,4992.1,RC,0.017,0.002,0.006,0.152,0.261,3.55
11617622,3.8870032957699996,32.2795079753,-0.0607541816211,0.0166791690951,0.0378430018618,2.7582271305900004,0.24535209500799998,10.2927848275,0.127,4674.6,RC,0.015,0.002,0.006,0.214,0.262,3.656
11674692,6.9701706862399995,82.1431823605,0.121257378427,0.00793458874278,0.0216921497635,3.15160786025,0.822471647724,7.785780613089999,0.252,5004.9,RC,0.018000000000000002,0.002,0.006,0.754,2.095,4.357
3526625,4.13294812702,35.1779203172,-0.039409602299800006,0.018023475567400003,0.0322574696564,2.4615911239200003,0.304778197436,10.7974834825,0.108,4730.8,RC,0.015,0.002,0.01,1.0759999999999998,2.171,4.3069999999999995
9077844,4.707342295269999,47.444586044,-0.007883157421359999,0.010323475448700001,0.031519544751300005,2.95840955837,0.725524959751,8.905355707310001,0.451,4677.6,RC,0.013999999999999999,0.002,0.004,0.37,0.504,3.69
9346602,5.11362348169,56.022700209300005,0.0409557998856,0.0141899394976,0.0252337541807,3.77305433911,0.298816111757,12.4755282679,-0.011,4908.1,RC,0.015,0.002,0.005,0.46,2.041,3.367
7807614,3.82379387065,32.059777368,-0.0439611456147,0.013001403855700002,0.032059824102,3.3446455030799997,0.053724688746600004,10.8866064851,0.24,4600.0,RC,0.018000000000000002,0.002,0.005,0.321,0.32899999999999996,3.457
10353044,4.096962523459999,33.48732687,-0.0341037245695,0.014920854975799999,0.0361860926032,2.82249618098,0.0573335167824,10.472400000499999,-0.143,4848.0,RC,0.017,0.002,0.006,0.273,0.285,3.608
10148026,6.36970505226,71.7423711365,0.110576995438,0.00820755693117,0.0320372598508,2.8992112986299996,1.26677656535,6.6762322454100005,-0.012,4981.4,RC,0.018000000000000002,0.002,0.008,0.846,1.3519999999999999,4.169
3425675,4.038953102930001,32.190096824,-0.050813550752300006,0.015234056630000001,0.028667433613800003,3.41380328407,1.27639850931,10.3051759568,-0.112,4816.8,RC,0.016,0.003,0.006999999999999999,0.909,3.469,3.66
6850417,4.141857612219999,36.3477982107,-0.0672713715013,0.014083135279600001,0.0312978068597,2.46368485926,0.487610959365,10.6124561194,-0.001,4799.0,RC,0.017,0.002,0.006,0.4,0.6920000000000001,3.638
9667930,6.173863561290001,68.9105351701,0.0676662768718,0.013114948826600002,0.0231720140449,3.8654325604900004,1.40454428901,6.67207567436,0.006,4966.9,RC,0.018000000000000002,0.003,0.004,0.515,0.38,3.639
5282875,4.72544261166,45.7815019058,-0.0152138206764,0.016365750764,0.0338807874528,2.8793024873000004,0.41551919730400005,12.4949246819,-0.113,4949.3,RC,0.016,0.001,0.004,0.162,0.25,3.21
11463411,4.62711800711,51.082423896499996,0.0122710372417,0.011396529273000002,0.0429431936555,2.9612114997400005,0.166045132386,12.7439280549,-0.068,5045.0,RC,0.017,0.002,0.006,0.16,0.255,3.234
10006852,6.7353060975400005,77.4055983424,0.0734682560851,0.0109078282433,0.0233225572704,3.22380531079,0.708146496504,7.48511678033,-0.017,5023.7,RC,0.012,0.001,0.004,0.165,0.244,3.662
4814198,4.84206746302,49.827804041899995,0.0521678308402,0.00433016290617,0.0300373865607,3.79109938389,0.140891295023,9.74155980525,0.161,4792.1,RC,0.013999999999999999,0.001,0.004,0.281,0.298,3.7680000000000002
3323943,4.005980502830001,32.6513201283,-0.0261549618404,0.0173347547456,0.028383537615799998,3.1440452322500003,-2.31792413756,10.6946922559,-0.129,4810.1,RC,0.017,0.002,0.008,0.914,2.9789999999999996,3.656
10600926,3.91584761477,29.3411921398,-0.07122888442410001,0.0217304050669,0.043192983325199996,2.52846197839,-0.262132156989,7.395929274410001,-0.191,4861.5,RC,0.016,0.003,0.005,0.24,0.337,4.2330000000000005
8941202,4.0155114236500005,33.8070109394,-0.0129489024232,0.013849587939100001,0.04232270120230001,2.59218051504,-0.201780461882,10.359886919700001,-0.179,4858.8,RC,0.017,0.002,0.005,0.19,0.289,3.7289999999999996
11519991,8.22631600084,100.751525365,0.142366961029,0.007210174157850001,0.0210646267503,3.4413791123000004,1.6935016475799998,10.2479409526,-0.089,5079.8,RC,0.01,0.001,0.003,0.305,0.188,3.3960000000000004
11351140,4.044848404780001,30.410714773800002,0.0136778792151,0.011269727627,0.0321388971001,2.89754156955,0.46578010877899995,8.57464166388,-0.241,4879.3,RC,0.021,0.004,0.006999999999999999,0.619,3.2569999999999997,4.272
9767332,8.5808666815,111.744114993,0.135844866601,0.0072123886882500005,0.0184119577291,3.3067986646499996,1.78341605635,11.155660716500002,0.141,5027.4,RC,0.011000000000000001,0.001,0.003,0.23800000000000002,0.20600000000000002,3.4730000000000003
11090395,4.2740398617699995,36.71497506,-0.028823675721,0.014995818877700002,0.044449830550699995,2.6428611135900004,-0.3158897216995866,8.700878000960001,-0.157,4839.3,RC,0.013999999999999999,0.002,0.005,0.14400000000000002,0.19899999999999998,3.887
11465784,4.20859851817,34.9284002079,-0.0129497225661,0.00549029176679,0.0391666245868,3.27529948255,-0.452702331903,10.104099763099999,0.0,4789.8,RC,0.016,0.002,0.005,0.363,0.267,3.71
10991271,6.40767436071,76.0882720462,0.0430110318565,0.010218952295,0.0257175972323,3.48309157454,-1.4576936813195864,5.17098128595,0.059,5059.4,RC,0.016,0.001,0.006,0.301,2.3040000000000003,2.8680000000000003
5112974,4.31425719612,40.3572662043,-0.0362268866765,0.0143739521976,0.026398496244799997,3.37198243664,-0.758503901108,9.887917472289999,0.109,4795.6,RC,0.02,0.002,0.006,0.815,2.865,3.804
9226335,4.52220035871,52.635318195299995,-0.005934501245350001,0.0112677411119,0.0333836711646,3.6384160473000002,-0.931056243553,10.2529735954,0.293,5013.3,RC,0.017,0.001,0.004,0.222,0.324,3.322
2836038,4.20492903828,37.4659307937,-0.0360362510356,0.0155857266732,0.0327462407121,2.66509776999,0.712850282584,9.77292661617,0.3,4634.3,RC,0.017,0.002,0.006,0.34600000000000003,0.499,3.78
11033302,4.1428127000099995,36.0284488323,-0.006038716017359999,0.0115563310488,0.043299699746199995,2.7275697603299998,0.197433762005,9.7782739771,-0.21,4880.3,RC,0.017,0.002,0.006,0.17600000000000002,0.29600000000000004,3.815
4036007,4.34716637768,37.5430320834,-0.00038352074155199997,0.0192300833033,0.0410351744294,2.30377690391,0.18785915033,11.0588809498,-0.295,4968.0,RC,0.015,0.001,0.005,0.14400000000000002,0.309,3.472
3222220,3.6883545654,30.390566427800003,-0.0551315686728,0.018555095283500002,0.0324441725189,2.36721837771,-0.120534872412,10.854759946400002,0.087,4714.7,RC,0.016,0.002,0.011000000000000001,0.9129999999999999,3.926,3.6460000000000004
8872709,4.31098796708,38.2028673565,-0.021077514797,0.0112121998939,0.034833412693800005,3.0289408545099996,0.328660135682,9.46935096394,0.016,4838.6,RC,0.013999999999999999,0.002,0.004,0.23,0.244,3.722
4164910,4.3494883163999996,38.832791890500005,-0.059114361855800004,0.0151856845759,0.0377785530486,2.6973562292900004,0.9190325635809999,10.2255771053,0.145,4748.1,RC,0.017,0.002,0.005,0.165,0.265,3.7060000000000004
9521461,5.38075833418,56.5480137545,0.0324186775909,0.0106653277268,0.0312043470089,2.9725872729100002,1.17114085587,10.0563542134,0.044,4915.9,RC,0.015,0.001,0.004,0.134,0.21,3.464
5283958,5.2338992948800005,54.1913233617,0.0378760849609,0.013479520801799998,0.030913719542900002,2.73227879518,0.943303609263,7.041275531089999,-0.013,4956.7,RC,0.02,0.002,0.006,0.429,0.8909999999999999,4.236000000000001
8805663,4.57329175737,49.260376543599996,0.022442474321599997,0.00780793612202,0.0326002615622,3.9937069844499997,-0.026011616962099998,8.931270846819999,0.134,4885.9,RC,0.019,0.002,0.005,0.557,0.495,3.9530000000000003
9450786,3.6036784328099998,27.421871880700003,-0.048688647044699995,0.016317833611,0.0511396211979,2.7375218509599994,0.015318704885799998,8.256936911910001,-0.249,4861.6,RC,0.016,0.003,0.006,0.132,0.244,4.138
5112938,4.71051482951,44.8739114769,0.0168106490726,0.0102139732196,0.027886002022000003,3.4030952701999997,-0.556731808747,8.68583359996,0.119,4852.4,RC,0.013999999999999999,0.001,0.004,0.316,0.287,3.787
3631821,5.4988955846300005,57.5872256871,0.0435630363519,0.011439880008200003,0.0298056111917,2.93984153417,0.870997384857,7.64724879048,-0.072,4949.2,RC,0.013000000000000001,0.001,0.004,0.13,0.24600000000000002,3.2939999999999996
4169130,4.24855525469,38.0547923182,-0.0314033945062,0.0100954262941,0.0370435736582,3.0671287532200004,0.33380989373799996,8.545464032,0.173,4741.8,RC,0.015,0.002,0.005,0.17600000000000002,0.242,3.85
6854391,5.60235066025,61.571793988900005,0.103917935438,0.0119828372927,0.0213841583414,3.8433606108699996,0.991431883293,11.8281450425,0.032,4947.2,RC,0.013000000000000001,0.002,0.004,0.35,0.304,3.477
9392039,4.06438397194,36.096634677,-0.027705433261199997,0.013909581814999999,0.04105408457240001,2.41632423689,0.6977075573360001,9.57670899879,-0.123,4862.3,RC,0.013999999999999999,0.002,0.005,0.16399999999999998,0.33299999999999996,3.727
9453362,4.17266962885,34.5502071214,-0.0346651866586,0.0182918122717,0.0343987557469,2.3463716306599998,-0.216840141294,10.3881050089,-0.227,4890.1,RC,0.017,0.002,0.006999999999999999,0.332,0.579,3.727
10753962,8.08292221526,101.964053243,0.138262412373,0.007887947794340001,0.018854343928400002,3.65179793562,1.0522667197,10.7718670594,0.045,5040.1,RC,0.011000000000000001,0.0007,0.003,0.207,0.19899999999999998,3.4739999999999998
6849167,4.18758049467,34.4830939331,-0.0297238915635,0.00583341266049,0.0363230981809,3.32560560934,-0.582787645909,10.1323619856,-0.104,4865.7,RC,0.021,0.002,0.005,0.575,0.32799999999999996,3.753
11618522,5.39538380272,57.3416366021,0.07510310794769999,0.0055148660004599994,0.028235056671700003,3.87888408231,0.00692811345035,9.67277644503,0.189,4865.4,RC,0.013999999999999999,0.002,0.003,0.325,0.218,3.792
10362043,4.394627003919999,39.2094285684,-0.0216398100825,0.014035954068799998,0.0384412822387,2.63378784252,0.829170799859,9.74799649098,-0.246,4925.8,RC,0.018000000000000002,0.002,0.005,0.21899999999999997,0.369,3.783
11027005,5.0388721920499995,51.102565749200004,0.0269680752282,0.00873857070435,0.030963528283500002,3.4771527287199997,0.125549781264,8.72153782026,0.092,4888.1,RC,0.017,0.002,0.005,0.262,0.251,3.926
9727392,4.36899215613,39.4888158965,0.0549140971014,0.00590449347909,0.0336455124548,2.26783411648,-1.94072386242,10.3618155207,-0.14,4884.7,RC,0.019,0.002,0.006999999999999999,0.494,3.2680000000000002,3.782
6263410,8.31231348829,104.853675849,0.126999909569,0.010053260603299998,0.017312091691000002,3.4734053277499997,1.47445140713,11.5049745434,0.097,5038.8,RC,0.012,0.0006,0.003,0.24,0.27,3.3489999999999998
5112950,4.34077306854,41.64509625,-0.0274087261907,0.013343583720400001,0.0399874661298,3.33648009811,0.6804135446940001,9.962738614520001,0.146,4805.2,RC,0.019,0.002,0.005,0.264,0.249,3.6039999999999996
9335570,4.19118173915,36.6591770252,-0.034312114846900006,0.014267510866799999,0.0391925676432,2.6950110684500004,0.18545059715999998,9.799574893439999,0.001,4811.1,RC,0.017,0.002,0.005,0.174,0.256,3.7739999999999996
4139914,4.24452551006,36.0623323598,-0.0437347289327,0.0154424775774,0.040819824170800004,2.64970530956,-0.553034768477,8.84564175572,-0.036,4815.0,RC,0.015,0.002,0.006,0.174,0.293,3.924
10592249,4.20737010256,37.5135242269,-0.0428815145037,0.0146910966061,0.0421204374356,2.58868917308,1.1437904209,6.828520589889999,0.202,4696.0,RC,0.015,0.002,0.005,0.151,0.293,4.0
11307599,4.20773785117,35.3462632627,-0.013588620041100001,0.0124262180014,0.0397709788575,2.56895467166,0.000614535494857,10.8566158955,-0.271,4904.8,RC,0.017,0.003,0.006,0.212,0.324,3.639
8564559,4.69147493047,44.8541318668,-0.012775458527799998,0.012165789865899999,0.030181311393900002,2.8173369134400006,0.9680689659039999,5.36071239555,-0.033,4865.2,RC,0.013999999999999999,0.002,0.005,0.243,0.28300000000000003,3.359
6768355,4.2009138506,37.052678881999995,-0.0479406160919,0.015743349786,0.039672011087000005,2.81084168631,0.5651360375869999,9.653974693110001,0.03,4801.2,RC,0.013999999999999999,0.001,0.004,0.141,0.213,3.562
11955410,4.0877287386,33.4886392581,-0.0547919786811,0.0165019446859,0.032208228580400004,3.07492751083,0.648427289438,9.09125053383,-0.062,4827.3,RC,0.025,0.003,0.006,0.659,0.7440000000000001,3.909
9456153,4.090209225350001,33.3312162024,-0.019432727595,0.014883279034799999,0.0362078443239,3.22186256703,0.153704165399,9.3910821822,-0.312,4937.0,RC,0.018000000000000002,0.003,0.005,0.32299999999999995,0.217,3.738
