Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[17]        54.14    0.02    0.4  53.35  53.87  54.14  54.41  54.94  644.0    1.0
numax[18]         98.5    0.03   0.68  97.14  98.05   98.5  98.95  99.86  527.0   1.01
numax[19]         70.8    0.01   0.34  70.12  70.56  70.79  71.03  71.47  585.0    1.0
numax[20]        64.85    0.02    0.4  64.08  64.58  64.84  65.12  65.65  448.0   1.01
numax[21]        49.09    0.02   0.35  48.41  48.85  49.09  49.33  49.77  430.0   1.02
numax[22]        53.47    0.01    0.3   52.9  53.26  53.46  53.66  54.04  565.0   1.01
numax[23]        53.78    0.01   0.26  53.26   53.6  53.78  53.96  54.28  667.0    1.0
numax[24]        62.28    0.01   0.25  61.78  62.13  62.29  62.45  62.75  578.0   1.01
numax[25]        50.88    0.01   0.27  50.35  50.69  50.88  51.06  51.43  713.0    1.0
numax[26]        78.72    0.02   0.44   77.9  78.41  78.71  79.01  79.58  554.0    1.0
numax[27]        60.26    0.02   0.33  59.61  60.03  60.26  60.48  60.89  405.0   1.02
numax[28]        47.37    0.02   0.43  46.54  47.08  47.37  47.66  48.19  481.0   1.01
numax[29]        64.69    0.02   0.36   64.0  64.45  64.68  64.93   65.4  499.0   1.01
numax[30]        65.09    0.01   0.26  64.58  64.92  65.09  65.26   65.6  616.0    1.0
numax[31]        45.63    0.01    0.3  45.04  45.42  45.63  45.83  46.24  621.0   1.01
numax[32]         52.4    0.01    0.3  51.81  52.19   52.4   52.6   53.0  515.0   1.01
numax[33]        45.04    0.02   0.39  44.29  44.77  45.04   45.3  45.84  580.0   1.01
numax[34]        65.08    0.01   0.26  64.58   64.9  65.08  65.25  65.59  585.0    1.0
numax[35]        89.48    0.02   0.44  88.59  89.18  89.48  89.77  90.36  440.0    1.0
numax[36]        54.95    0.01   0.32  54.33  54.74  54.95  55.15  55.58  511.0   1.01
numax[37]        44.65  9.7e-3   0.22  44.16  44.51  44.67  44.82  45.01  518.0   1.01
numax[38]        55.91    0.02   0.33  55.25  55.69  55.91  56.13  56.53  476.0   1.01
numax[39]       104.93    0.03   0.59 103.78 104.54 104.93 105.33 106.09  460.0    1.0
numax[40]        65.03  9.2e-3   0.21   64.6  64.89  65.03  65.17  65.43  520.0   1.02
numax[41]        47.44    0.03   0.48  46.52  47.11  47.43  47.77  48.39  290.0   1.01
numax[42]        45.07  8.1e-3   0.22  44.63  44.92  45.07  45.21   45.5  731.0   1.01
numax[43]        55.97    0.01   0.32  55.32  55.76  55.97  56.19  56.61  583.0    1.0
numax[44]         99.9    0.03   0.63   98.7  99.46   99.9 100.33 101.15  430.0   1.01
numax[45]        48.73    0.01   0.24  48.25  48.56  48.73   48.9  49.19  491.0    1.0
numax[46]        91.68    0.01    0.3  91.09  91.48  91.68  91.88  92.26  605.0    1.0
numax[47]        47.83    0.02   0.34  47.18  47.61  47.82  48.04  48.51  437.0   1.01
numax[48]        60.37    0.02    0.4  59.62   60.1  60.38  60.64  61.14  384.0   1.01
numax[49]         55.0    0.02   0.44  54.15  54.69  54.99   55.3  55.89  590.0   1.01
numax[50]        57.19    0.02   0.39  56.41  56.92  57.19  57.45  57.96  406.0   1.01
numax[51]       104.07  9.8e-3   0.24  103.6 103.91 104.06 104.23 104.54  591.0    1.0
numax[52]        61.99    0.04   0.73  60.54  61.52  61.99  62.46  63.45  378.0   1.02
numax[53]        55.52    0.02   0.39  54.75  55.26  55.52  55.79   56.3  403.0   1.01
numax[54]         50.5  7.8e-3   0.21  50.11  50.36   50.5  50.64  50.92  722.0    1.0
numax[55]        76.52    0.02   0.45  75.65  76.21  76.52  76.82   77.4  423.0   1.03
numax[56]        73.04    0.01   0.28  72.49  72.84  73.04  73.23   73.6  631.0   1.01
numax[57]        61.07    0.01    0.3  60.49  60.87  61.07  61.27  61.66  592.0   1.02
numax[58]        57.61    0.02   0.32  56.98  57.39   57.6  57.82  58.25  354.0   1.02
numax[59]        61.98    0.01   0.31  61.38  61.77  61.98  62.19  62.59  474.0   1.01
numax[60]        61.62    0.01   0.37  60.88  61.37  61.62  61.87  62.34  699.0    1.0
numax[61]         52.5    0.02   0.58  51.39   52.1   52.5   52.9  53.64  696.0    1.0
numax[62]        60.15    0.02   0.42  59.32  59.86  60.15  60.44  60.97  451.0    1.0
numax[63]        64.32    0.01    0.3  63.73  64.11  64.32  64.52  64.91  770.0    1.0
numax[64]        51.02    0.01    0.3  50.42  50.82  51.02  51.23  51.61  695.0    1.0
numax[65]       103.15    0.02   0.46 102.27 102.84 103.15 103.47 104.04  667.0   1.01
numax[66]        50.49  7.7e-3    0.2   50.1  50.35  50.49  50.63   50.9  697.0   1.01
numax[67]        47.49    0.01   0.27  46.95  47.31  47.49  47.68  48.02  438.0   1.01
numax[68]        56.64  8.3e-3    0.2  56.24   56.5  56.64  56.77  57.03  596.0   1.01
numax[69]         52.4    0.01    0.3  51.82  52.19  52.39   52.6  52.99  532.0   1.01
numax[70]        81.46    0.04   0.81  79.87   80.9  81.47  82.01  83.02  436.0   1.01
numax[71]        47.61    0.01   0.31  47.01   47.4  47.61  47.83  48.22  460.0   1.01
numax[72]         61.5    0.01    0.3   60.9  61.29   61.5  61.71  62.09  482.0   1.01
numax[73]        52.84    0.02   0.44  52.02  52.54  52.83  53.14  53.72  499.0   1.01
numax[74]        46.74    0.01   0.32  46.12  46.52  46.74  46.95  47.35  563.0   1.01
numax[75]        81.48    0.04   0.83  79.89   80.9  81.46  82.05  83.11  409.0   1.01
numax[76]        47.08    0.02   0.32  46.45  46.86  47.08   47.3  47.72  287.0   1.02
numax[77]        44.65    0.01   0.23  44.13  44.52  44.68  44.81  45.02  403.0   1.02
numax[78]        60.15    0.03   0.63  58.92  59.73  60.15  60.58  61.37  406.0    1.0
numax[79]         56.0    0.01   0.32  55.38  55.78   56.0  56.21  56.62  573.0   1.01
numax[80]        70.82    0.01   0.35  70.14  70.59  70.82  71.06  71.52  570.0   1.01
phi[1]            1.07  9.1e-3    0.2   0.68   0.94   1.07   1.21   1.45  459.0    1.0
phi[2]            1.71    0.01   0.23   1.27   1.56   1.71   1.85   2.16  379.0   1.01
phi[3]            2.24    0.24   0.66   1.56   1.86   2.03   2.25   4.03    8.0   1.39
phi[4]            0.21    1.93   2.75  -4.92  -1.68   1.63   1.91   2.44    2.0   8.49
phi[5]            1.36  7.9e-3   0.17   1.03   1.26   1.36   1.47    1.7  442.0   1.01
phi[6]            1.73    0.05   0.61   0.78   1.33   1.62   2.02   3.19  178.0   1.03
phi[7]           -0.74    0.96   1.38  -3.41  -1.71  -0.06   0.16    0.5    2.0   5.75
phi[8]            2.15    0.08   0.68   0.62   2.09   2.31   2.46   2.89   77.0   1.06
phi[9]            0.77    0.02   0.38   0.07    0.5   0.75   1.03   1.54  623.0    1.0
phi[10]          -0.53    0.38   3.58   -6.1  -3.09  -0.04   2.79   6.15   91.0   1.07
phi[11]          -1.05    0.58   3.48  -5.97  -4.39  -1.46   1.76   5.15   36.0   1.16
