Inference for Stan model: anon_model_122fa4c7d85ec26172d820d9fa2c8950.
4 chains, each with iter=12000; warmup=6000; thin=1; 
post-warmup draws per chain=6000, total post-warmup draws=24000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
al_std[13]    0.48   0.303   0.49  0.035  0.111  0.321  0.555  1.766    3.0  2.107
al_std[14]   0.107   0.045   0.14 -0.088  0.025   0.07  0.154  0.513   10.0  1.202
al_std[15]    0.03   0.013  0.102 -0.223  0.005  0.025  0.082  0.224   60.0  1.093
al_std[16]   0.078   0.021  0.114 -0.119  0.019  0.049  0.127  0.381   29.0  1.127
al_std[17]   0.144   0.071  0.162 -0.047  0.036  0.099  0.197  0.603    5.0  1.327
al_std[18]  -0.077   0.093  0.167  -0.54 -0.105 -0.007  0.013  0.105    3.0   1.72
al_std[19]   0.094   0.027   0.15 -0.149   0.02  0.057  0.144  0.507   31.0  1.102
al_std[20]   0.096   0.035  0.162 -0.177  0.018  0.053  0.151   0.54   22.0  1.112
al_std[21]    0.29   0.178  0.293  0.029  0.071  0.196  0.342  1.074    3.0  1.975
al_std[22]   0.106   0.039  0.158 -0.141  0.022  0.065  0.161  0.549   16.0   1.13
al_std[23]   0.186   0.098  0.187  0.002  0.056  0.129  0.236  0.708    4.0  1.555
al_std[24]   0.048   0.009  0.125 -0.264  0.017  0.037    0.1  0.325  183.0  1.045
al_std[25]   0.115   0.048  0.143 -0.083  0.026  0.079  0.168  0.513    9.0  1.218
al_std[26]   0.145    0.07  0.155 -0.032   0.04  0.102  0.194  0.585    5.0   1.38
al_std[27]  -0.016   0.042  0.141 -0.407  -0.04  0.007  0.048  0.195   11.0  1.173
al_std[28]   0.295    0.18  0.306  0.024  0.075  0.196  0.349  1.132    3.0  1.837
al_std[29] -7.45e-4    0.04  0.125 -0.356 -0.018  0.018   0.06  0.184   10.0  1.218
al_std[30]  -0.057   0.075  0.211 -0.667 -0.0815.91e-4  0.034   0.21    8.0  1.209
al_std[31]  -0.553   0.429  0.623 -1.952 -0.683  -0.26 -0.145 -0.033    2.0  4.522
al_std[32]   0.062    0.01  0.164 -0.286  0.009  0.041  0.127  0.445  261.0  1.041
