Inference for Stan model: anon_model_893ae0f30707a4f59ccad73c820dc14f.
4 chains, each with iter=90000; warmup=45000; thin=1; 
post-warmup draws per chain=45000, total post-warmup draws=180000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[27]    60.28  5.8e-3   0.32  59.65  60.06  60.28   60.5  60.91 3141.0    1.0
numax[28]    47.37  7.4e-3   0.42  46.56  47.09  47.37  47.65   48.2 3175.0    1.0
numax[29]     64.7  6.5e-3   0.36   64.0  64.46   64.7  64.94   65.4 2993.0    1.0
numax[30]    65.09  4.7e-3   0.26  64.58  64.91  65.09  65.26  65.58 2986.0    1.0
numax[31]    45.64  5.4e-3    0.3  45.06  45.44  45.64  45.84  46.23 3143.0    1.0
numax[32]    52.42  5.3e-3    0.3  51.83  52.21  52.42  52.62   53.0 3252.0    1.0
numax[33]    45.02  6.3e-3    0.4  44.24  44.75  45.02  45.29   45.8 4048.0    1.0
numax[34]    65.08  4.5e-3   0.25  64.59  64.91  65.09  65.26  65.58 3200.0    1.0
numax[35]    89.51  7.9e-3   0.44  88.66  89.21   89.5   89.8  90.37 3040.0    1.0
numax[36]    54.96  5.6e-3   0.31  54.35  54.75  54.96  55.17  55.57 3044.0    1.0
numax[37]     44.5  4.7e-3   0.23  43.97  44.36  44.53  44.66  44.85 2389.0    1.0
numax[38]    55.88  6.3e-3   0.35  55.21  55.65  55.88  56.12  56.56 3013.0    1.0
numax[39]   104.95    0.01   0.58 103.79 104.57 104.96 105.35 106.08 2972.0    1.0
numax[40]    65.04  3.9e-3   0.22  64.61  64.89  65.04  65.18  65.46 2990.0    1.0
numax[41]    47.47    0.01   0.52  46.46  47.12  47.48  47.82  48.49 2172.0    1.0
numax[42]    45.07  3.6e-3   0.22  44.63  44.92  45.07  45.22  45.49 3781.0    1.0
numax[43]    55.96  5.8e-3   0.33  55.32  55.74  55.96  56.18  56.59 3141.0    1.0
numax[44]     99.9    0.01   0.61  98.68  99.49   99.9 100.31 101.09 2459.0    1.0
numax[45]    48.73  4.8e-3   0.25  48.24  48.57  48.73   48.9  49.22 2647.0    1.0
numax[46]    91.66  4.7e-3   0.29  91.08  91.46  91.66  91.86  92.24 3842.0    1.0
numax[47]    47.81  6.4e-3   0.34  47.15  47.58  47.81  48.04  48.48 2817.0    1.0
numax[48]     60.4  7.5e-3   0.39  59.63  60.13   60.4  60.67  61.17 2692.0    1.0
numax[49]    54.99  7.7e-3   0.44  54.12   54.7  54.99  55.29  55.86 3337.0    1.0
numax[50]    57.18  8.6e-3   0.41  56.36   56.9  57.18  57.46  57.98 2317.0    1.0
