Inference for Stan model: anon_model_44e3c749f7a7110bcaebb3c656940e7c.
4 chains, each with iter=48000; warmup=24000; thin=1; 
post-warmup draws per chain=24000, total post-warmup draws=96000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
tau[13]     10.142   0.014  3.685  3.554  7.473  9.993 12.626 17.742  64973    1.0
tau[14]     10.101   0.014  3.585   3.92  7.456  9.877 12.502 17.628  66800    1.0
tau[15]     10.118   0.106   3.62  3.693   7.49  9.958  12.53 17.601   1175  1.007
tau[16]      9.418   0.016  3.859  2.796  6.521  9.237 12.043 17.366  61709    1.0
tau[17]      8.657    0.02  4.003  2.321   5.46  8.413 11.454 16.977  41203    1.0
tau[18]      8.668   0.017  3.939  2.302  5.598  8.421 11.365 16.943  53520    1.0
tau[19]     10.414   0.014  3.628  3.879  7.793 10.258 12.854 17.897  62646    1.0
tau[20]      9.212   0.017  3.875  2.512  6.296  9.051  11.87 17.165  51184    1.0
tau[21]     10.299   0.015  3.684  3.706  7.616  10.16 12.768 17.903  61314    1.0
tau[22]     10.685   0.016  3.699  3.737  8.101 10.585 13.179 18.155  53852    1.0
tau[23]      10.71   0.015  3.577  4.268  8.124 10.562 13.099 18.082  56848    1.0
tau[24]      9.581   0.017  3.737  3.052  6.813  9.405 12.108 17.341  47978    1.0
tau[25]      9.901   0.016  3.673  3.537  7.188  9.689 12.358 17.576  55256    1.0
tau[26]      9.054   0.019   3.93  2.451  6.044   8.86 11.761 17.162  42661    1.0
tau[27]      9.347   0.017  3.849  2.753  6.459  9.169 11.967 17.264  54246    1.0
tau[28]       9.19   0.017  3.818   2.67  6.311  8.983 11.743 17.231  53455    1.0
tau[29]     10.922   0.014  3.556  4.504  8.366 10.776 13.285 18.265  66458    1.0
tau[30]     10.207   0.016  3.785  3.249  7.496 10.098  12.76 17.934  55534    1.0
tau[31]      9.593   0.016  3.747  3.195  6.787  9.382 12.116 17.421  51933    1.0
tau[32]      10.53   0.017  3.646  3.907  7.917 10.399 12.969 18.001  47750    1.0
tau[33]       9.21   0.017  3.769  2.989  6.327  8.966 11.765 17.137  46550    1.0
tau[34]      9.331   0.018  3.977  2.428  6.351  9.222 12.065 17.402  50444    1.0
tau[35]      9.884   0.015  3.678  3.422  7.186  9.704 12.362 17.484  56982    1.0
tau[36]     10.182   0.015  3.718  3.419  7.502 10.049 12.682 17.788  60226    1.0
tau[37]       9.61   0.016  3.797  2.901  6.831  9.457 12.177 17.384  57692    1.0
eps_std[1]   0.363   0.006  0.799 -1.226 -0.171  0.368  0.904  1.913  18544    1.0
eps_std[2]  -0.119   0.007  0.935 -1.948 -0.746  -0.12  0.513  1.708  18485    1.0
eps_std[3]   0.384   0.005  0.551 -0.699  0.015  0.386  0.752  1.466  12084    1.0
eps_std[4]  -0.393   0.005  0.516 -1.438  -0.73 -0.383 -0.041  0.594  10696  1.001
eps_std[5]   0.102   0.006  0.931 -1.717 -0.528    0.1  0.732   1.93  21401    1.0
eps_std[6]    0.07   0.007  0.882 -1.694  -0.52  0.079   0.67  1.777  16975    1.0
eps_std[7]   0.611   0.004  0.442 -0.241  0.312  0.606  0.902  1.497  13342    1.0
eps_std[8]   0.015   0.007  0.848 -1.658 -0.552  0.017  0.587   1.67  16307    1.0
eps_std[9]  -1.415   0.005  0.671 -2.749 -1.861 -1.408 -0.968 -0.108  20938  1.001
eps_std[10]  0.747   0.006  0.834 -0.915  0.193  0.756   1.31   2.36  16697    1.0
eps_std[11]  1.209   0.003  0.393    0.5  0.937  1.189  1.457  2.044  13166    1.0
eps_std[12] -0.208   0.007  0.953  -2.08 -0.852 -0.209  0.439  1.648  21049    1.0
eps_std[13]  0.525   0.006  0.723 -0.909  0.046  0.529  1.009  1.945  13201  1.003
eps_std[14]  0.938   0.006  0.724 -0.491  0.454  0.941  1.417  2.367  15986    1.0
eps_std[15]  0.608   0.007   0.81 -1.001  0.067  0.615  1.155  2.184  14999  1.002
eps_std[16] -0.052   0.008  0.987 -1.984 -0.719 -0.057  0.613  1.887  16907    1.0
eps_std[17] -0.895   0.003  0.447 -1.815 -1.184  -0.88 -0.593 -0.054  19641    1.0
eps_std[18] -0.132   0.006  0.831 -1.753  -0.69 -0.137  0.422  1.519  17627    1.0
eps_std[19]  -1.09   0.004  0.528 -2.151 -1.436  -1.08 -0.737 -0.079  22702    1.0
eps_std[20] -0.475   0.051  0.833 -2.096 -1.032 -0.485  0.076  1.186  268.0  1.016
eps_std[21] -0.521   0.006  0.802 -2.085 -1.058 -0.523  0.016  1.066  18887    1.0
eps_std[22]  0.408   0.005  0.807 -1.188  -0.13  0.415  0.949  1.983  23386    1.0
eps_std[23]  -1.19   0.003  0.461 -2.148 -1.486 -1.174 -0.876  -0.33  19521    1.0
eps_std[24]  0.077   0.004  0.489 -0.877 -0.248  0.072  0.398  1.057  19042    1.0
eps_std[25] -0.369   0.006  0.804  -1.94 -0.906 -0.372  0.167   1.22  17106    1.0
eps_std[26]  0.208   0.006  0.756 -1.268 -0.296  0.202   0.71   1.71  17736    1.0
eps_std[27] -0.619   0.017  0.563 -1.695 -0.993 -0.636 -0.264  0.552   1120  1.009
