KIC,ns,dnu,numax,G,phi,tau,epsilon,alpha,A,IMass,Metallicity
10145279,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.541918413006067,30.595396788475302,2.0663232400460867,1.4597344943339123,12.856041933089351,0.06085606344379537,0.010312675135269306,0.12715471041084825,1.29,-0.33
6191288,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.115403257577123,24.835063202168342,2.914325475435421,0.997533859742129,23.043294895082692,0.03167667860767458,0.024921192439269366,-0.022534809829399868,1.3,-0.32
7346442,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.190298688143015,48.4168191429404,2.2081020149766495,3.0902263840701143,22.03556964233208,0.09448241954928838,0.01447654956262559,0.059635598748473434,1.15,-0.25
7670489,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.021056826411874,34.71682570640902,2.0192901041736304,1.7729331269588384,16.285698968001203,0.0672610733351392,0.014558648016945066,-0.00155124135171481,1.29,-0.33
3835996,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",4.9732983083057,45.63543869418339,2.0358103299224224,3.526949032370856,20.34779513546515,0.08526799048038093,0.014207886531482361,0.011363065819951293,1.19,-0.29
4638317,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",3.383837889105816,27.584067588823086,1.9877985192161227,1.777753545064426,18.920680234547646,0.04836606326729986,0.022895611410464055,0.0725536315748646,1.17,-0.34
4543229,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",3.1306357246285135,24.80575909520346,2.009615800068708,2.3144667236725343,20.365486150209133,0.03354263561573253,0.024942462753849627,0.014416889757271095,1.17,-0.28
4937204,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.398565008938047,40.1282941125817,2.2863009561608303,1.8815378064858066,17.555728708660226,0.07884253586664176,0.014300262031925212,0.010670029817578875,1.29,-0.36
4378473,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",3.020508813767066,24.287177632540512,6.178830512820424,-3.5889474554380794,18.95727576401353,0.28451686370750473,0.09073343595322349,0.11856394730685227,1.3,-0.36
11599342,"[9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0]",10.790368936815335,131.94940709611345,4.1431926930166005,1.8189388445298758,22.153277282542934,0.18672007266655663,0.01419932609666426,-0.017571411297819257,1.4,-0.14
10670445,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.741902457468433,33.30525221814953,1.5214731644377377,-0.9354036695470946,16.741006843420678,0.29230064117826066,0.05349721891743216,2.103961271787392,1.33,-0.11
10272641,"[8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0]",8.194284071672897,90.84331296731169,1.9042546101706699,2.9364384815746587,18.334483589659037,0.14321228641389622,0.010477620252505213,0.12492094147942039,1.3,-0.21
9761625,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]",1.4579161944730208,9.322039954315947,4.977514761330046,0.06268875299868226,22.51566768631532,0.18663490270765595,0.1634417978808617,0.07639379290175828,1.44,-0.2
9883123,"[8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0]",8.274031122307887,94.38625014425392,3.3273485810516723,1.697280266946412,17.9236358763006,0.14758700391694107,0.01245117849479157,-0.004267421558231883,1.45,-0.11
9080407,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",4.703833000555048,45.530816325494435,3.1789576870186838,1.523879292584981,19.544340561533133,0.10121997300657203,0.015084579092896112,0.023790052687166382,1.39,-0.19
9820702,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.973107139264145,61.59899941121,1.9262757025993866,2.57231549066199,9.658282418860447,0.11586900599605762,0.011189233126125828,0.05556462408944787,1.41,-0.17
9222389,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.543269736127535,31.186834106936363,2.1350652436882793,2.114117704061691,19.511999946333187,0.05005276494625717,0.019812698129210226,0.07162784539802015,1.38,-0.16
9833073,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.6028484554553564,31.123480455286185,1.9722221929188644,1.9438935103401513,19.451205184610732,0.05355726296122435,0.021111799432578467,0.08357620384029853,1.4,-0.14
6935260,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.569976081337942,42.65983495553358,2.1821627655197853,2.575393887384313,17.676304371080008,0.08094317435109859,0.015549068891772851,0.05795572230843176,1.31,-0.08
