Inference for Stan model: anon_model_fcf36ecb9c937b17a466d4b2d8d7eb83.
4 chains, each with iter=180000; warmup=90000; thin=1; 
post-warmup draws per chain=90000, total post-warmup draws=360000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
eps_std[4]   -0.45  5.6e-3   0.16  -0.77  -0.56  -0.45  -0.34  -0.13  855.0    1.0
eps_std[5]    0.53  8.4e-3   0.26   0.02   0.35   0.53    0.7   1.05  983.0    1.0
eps_std[6]    1.25  9.1e-3    0.3   0.67   1.04   1.24   1.44   1.85 1072.0    1.0
eps_std[7]   -0.18  7.2e-3   0.21   -0.6  -0.32  -0.18  -0.05   0.24  862.0    1.0
eps_std[8]    5.41    0.01    0.6   4.25    5.0    5.4   5.82   6.61 3030.0    1.0
eps_std[9]    0.13  5.9e-3   0.17  -0.18   0.02   0.13   0.24   0.47  783.0    1.0
eps_std[10]  -0.29  6.6e-3   0.17  -0.63  -0.41  -0.29  -0.17   0.05  694.0    1.0
eps_std[11]  -0.11  5.7e-3   0.15   -0.4  -0.21  -0.11-6.0e-3   0.19  693.0   1.01
eps_std[12]   -0.3  8.8e-3   0.27  -0.82  -0.47   -0.3  -0.12   0.23  921.0    1.0
eps_std[13]   0.19  5.4e-3   0.15   -0.1   0.09   0.19    0.3    0.5  785.0   1.01
eps_std[14]  -0.43  6.5e-3   0.17  -0.77  -0.55  -0.43  -0.31   -0.1  690.0    1.0
eps_std[15]  -0.43    0.04   0.21  -0.82  -0.57  -0.44   -0.3  -0.01   32.0   1.08
eps_std[16]    0.2  6.7e-3   0.18  -0.14   0.08   0.19   0.31   0.54  691.0    1.0
eps_std[17]   0.08  5.5e-3   0.14  -0.19  -0.02   0.08   0.18   0.37  687.0   1.01
eps_std[18]  -0.12  8.5e-3   0.25  -0.62  -0.29  -0.12   0.04   0.39  897.0    1.0
eps_std[19]  -0.28  8.0e-3   0.24  -0.75  -0.44  -0.28  -0.12   0.19  894.0    1.0
eps_std[20]  -0.18  7.1e-3   0.18  -0.54  -0.31  -0.18  -0.06   0.18  645.0    1.0
eps_std[21]  -0.58  5.6e-3   0.16   -0.9  -0.68  -0.58  -0.47  -0.27  802.0    1.0
eps_std[22]  -0.25  6.4e-3   0.17  -0.58  -0.36  -0.25  -0.13   0.09  702.0    1.0
eps_std[23]   0.08  5.5e-3   0.15  -0.21  -0.02   0.08   0.18   0.38  737.0   1.01
eps_std[24]   0.31    0.03   0.25  -0.16   0.14   0.31   0.47    0.8   88.0   1.04
