Inference for Stan model: anon_model_6164d8efe974107dc2b96f1559771960.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[34]       103.55    0.02   0.44 102.67 103.25 103.56 103.86  104.4  509.0    1.0
numax[35]        53.62  8.1e-3   0.24  53.15  53.45  53.61  53.77  54.08  869.0    1.0
numax[36]        65.35  9.7e-3    0.3  64.78  65.15  65.35  65.55  65.92  932.0    1.0
numax[37]        52.48  9.7e-3   0.28  51.94   52.3  52.48  52.66  53.03  806.0   1.01
numax[38]        54.38  8.5e-3   0.23  53.92  54.22  54.38  54.54  54.83  763.0   1.01
numax[39]        69.74    0.01   0.42  68.91  69.46  69.74  70.02  70.56 1116.0    1.0
numax[40]        76.72  6.3e-3   0.21  76.32  76.58  76.71  76.86  77.14 1086.0    1.0
numax[41]         58.8  8.8e-3   0.23  58.35  58.64   58.8  58.95  59.24  669.0    1.0
numax[42]        58.79  8.8e-3   0.23  58.34  58.63  58.79  58.94  59.25  704.0   1.01
numax[43]        58.15  9.4e-3   0.25  57.66  57.98  58.15  58.32  58.64  716.0   1.01
numax[44]        58.08    0.01   0.32  57.45  57.86  58.08   58.3  58.71  706.0   1.01
numax[45]        50.07    0.01   0.28  49.53  49.88  50.06  50.26  50.61  712.0   1.01
numax[46]        71.91    0.02    0.4  71.14  71.64   71.9  72.19  72.72  648.0   1.01
numax[47]        63.77    0.01   0.37  63.04  63.52  63.77  64.02   64.5  714.0    1.0
numax[48]        73.33    0.01    0.3  72.74  73.13  73.34  73.54  73.91  449.0   1.01
numax[49]        50.27    0.02   0.46   49.4  49.95  50.26  50.58  51.21  782.0   1.01
numax[50]         55.2    0.01   0.33  54.55  54.98   55.2  55.42  55.86 1069.0    1.0
phi[1]             1.0  7.1e-3   0.18   0.64   0.88    1.0   1.12   1.35  645.0    1.0
phi[2]            1.43    0.04   0.36   0.89   1.21   1.38   1.58   2.43   82.0   1.04
phi[3]            2.27  9.3e-3   0.21    1.9   2.12   2.26   2.41   2.72  518.0   1.01
phi[4]            0.54  9.0e-3   0.25   0.06   0.37   0.54   0.71   1.03  762.0   1.01
phi[5]            1.46  3.3e-3   0.08    1.3   1.41   1.46   1.51   1.63  635.0   1.01
phi[6]            2.02    0.91    1.3   0.94   1.21   1.36   2.53    4.5    2.0    7.4
phi[7]            0.79    0.01   0.26   0.33   0.61   0.77   0.94   1.37  624.0   1.01
phi[8]            0.39    0.01   0.32  -0.19   0.16   0.37    0.6   1.05  622.0   1.01
phi[9]             1.9  9.6e-3   0.23   1.45   1.74   1.91   2.06   2.36  588.0    1.0
phi[10]           1.92  9.7e-3   0.21    1.5   1.78   1.92   2.06   2.31  457.0   1.01
phi[11]           1.74  6.8e-3   0.18   1.39   1.62   1.74   1.86    2.1  689.0    1.0
phi[12]           1.49  7.9e-3   0.22   1.09   1.34   1.49   1.63   1.93  739.0   1.01
phi[13]           1.65  7.7e-3   0.19    1.3   1.52   1.63   1.76   2.08  639.0    1.0
phi[14]           0.87  8.5e-3   0.23   0.44   0.71   0.87   1.02   1.33  738.0   1.01
phi[15]            1.1    0.05   0.39   0.52   0.88   1.06   1.26   2.05   69.0   1.06
phi[16]            2.5    0.02   0.25   2.05   2.33   2.49   2.66   3.01  244.0   1.02
phi[17]           1.12  7.0e-3   0.18   0.76    1.0   1.11   1.24   1.47  664.0   1.01
phi[18]           2.91  3.3e-3   0.09   2.75   2.85   2.91   2.97   3.08  655.0    1.0
phi[19]           2.46  5.5e-3   0.14   2.19   2.36   2.46   2.55   2.74  673.0    1.0
